dataset_name,category,source,last_updated,record_count,file_size_mb,created_at
Dataset_0299,Finance,User Upload,2025-04-09,525327,29.2,2025-04-09 03:47:13
Dataset_0300,Retail,Third-Party Vendor,2025-11-20,822509,109.78,2025-11-20 03:47:13
Dataset_0301,Finance,User Upload,2025-02-13,867820,212.84,2025-02-13 03:47:13
Dataset_0302,Retail,User Upload,2025-03-25,266975,271.24,2025-03-25 03:47:13
Dataset_0303,Education,Third-Party Vendor,2025-11-07,162840,486.23,2025-11-07 03:47:13
Dataset_0304,Transportation,Third-Party Vendor,2025-04-19,152717,267.93,2025-04-19 03:47:13
Dataset_0305,Cybersecurity,User Upload,2025-04-14,66310,161.55,2025-04-14 03:47:13
Dataset_0306,Finance,Internal System,2025-03-04,189589,269.82,2025-03-04 03:47:13
Dataset_0307,Education,Third-Party Vendor,2025-10-01,685585,314.42,2025-10-01 03:47:13
Dataset_0308,Transportation,Internal System,2025-01-10,552595,18.01,2025-01-10 03:47:13
Dataset_0309,Education,User Upload,2025-08-19,845211,409.25,2025-08-19 03:47:13
Dataset_0310,Education,API Feed,2025-03-23,494689,55.87,2025-03-23 03:47:13
Dataset_0311,Transportation,Open Data Portal,2025-10-15,370991,234.01,2025-10-15 03:47:13
Dataset_0312,Finance,API Feed,2025-01-12,769589,58.45,2025-01-12 03:47:13
Dataset_0313,Finance,Open Data Portal,2025-11-29,347975,439.04,2025-11-29 03:47:13
Dataset_0314,Cybersecurity,API Feed,2025-09-01,993172,490.32,2025-09-01 03:47:13
Dataset_0315,Transportation,Open Data Portal,2025-11-07,377671,239.69,2025-11-07 03:47:13
Dataset_0316,Cybersecurity,Internal System,2025-06-03,542062,402.15,2025-06-03 03:47:13
Dataset_0317,Healthcare,Third-Party Vendor,2025-05-27,692970,388.01,2025-05-27 03:47:13
Dataset_0318,Retail,API Feed,2025-07-24,878113,56.84,2025-07-24 03:47:13
Dataset_0319,Retail,API Feed,2025-09-25,10430,58.05,2025-09-25 03:47:13
Dataset_0320,Education,Third-Party Vendor,2025-05-13,703548,463.16,2025-05-13 03:47:13
Dataset_0321,Finance,Third-Party Vendor,2025-09-22,101538,424.9,2025-09-22 03:47:13
Dataset_0322,Healthcare,Third-Party Vendor,2025-03-22,678148,345.06,2025-03-22 03:47:13
Dataset_0323,Healthcare,API Feed,2025-08-20,87783,272.12,2025-08-20 03:47:13
Dataset_0324,Transportation,Internal System,2025-09-18,662641,235.58,2025-09-18 03:47:13
Dataset_0325,Healthcare,Third-Party Vendor,2025-10-14,348651,371.99,2025-10-14 03:47:13
Dataset_0326,Education,API Feed,2025-04-23,650050,266.97,2025-04-23 03:47:13
Dataset_0327,Cybersecurity,User Upload,2025-06-14,261133,285.4,2025-06-14 03:47:13
Dataset_0328,Healthcare,User Upload,2025-11-20,481800,86.96,2025-11-20 03:47:13
Dataset_0329,Education,Third-Party Vendor,2025-08-01,827974,195.33,2025-08-01 03:47:13
Dataset_0330,Finance,API Feed,2025-09-14,609809,427.21,2025-09-14 03:47:13
Dataset_0331,Education,Open Data Portal,2025-08-16,633870,113.16,2025-08-16 03:47:13
Dataset_0332,Education,Open Data Portal,2025-07-16,237146,393.11,2025-07-16 03:47:13
Dataset_0333,Education,Third-Party Vendor,2025-09-02,403770,126.68,2025-09-02 03:47:13
Dataset_0334,Transportation,Open Data Portal,2025-09-17,691737,292.68,2025-09-17 03:47:13
Dataset_0335,Transportation,API Feed,2025-11-07,409062,417.52,2025-11-07 03:47:13
Dataset_0336,Cybersecurity,User Upload,2025-03-08,825831,23.1,2025-03-08 03:47:13
Dataset_0337,Healthcare,User Upload,2025-01-23,63618,354.65,2025-01-23 03:47:13
Dataset_0338,Finance,Open Data Portal,2025-02-02,155737,268.48,2025-02-02 03:47:13
Dataset_0339,Education,User Upload,2025-08-14,707933,3.9,2025-08-14 03:47:13
Dataset_0340,Transportation,API Feed,2024-12-18,410382,181.23,2024-12-18 03:47:13
Dataset_0341,Healthcare,Internal System,2025-10-11,251033,116.0,2025-10-11 03:47:13
Dataset_0342,Healthcare,User Upload,2025-11-27,349953,139.97,2025-11-27 03:47:13
Dataset_0343,Cybersecurity,Internal System,2025-02-16,644164,193.72,2025-02-16 03:47:13
Dataset_0344,Retail,Internal System,2024-12-14,844356,11.53,2024-12-14 03:47:13
Dataset_0345,Healthcare,Internal System,2025-03-28,997421,450.21,2025-03-28 03:47:13
Dataset_0346,Transportation,Third-Party Vendor,2024-12-17,58192,227.95,2024-12-17 03:47:13
Dataset_0347,Healthcare,Third-Party Vendor,2025-06-05,283879,412.54,2025-06-05 03:47:13
Dataset_0348,Transportation,Open Data Portal,2025-01-31,746166,167.14,2025-01-31 03:47:13
Dataset_0349,Finance,User Upload,2025-06-17,327285,331.01,2025-06-17 03:47:13
Dataset_0350,Healthcare,Third-Party Vendor,2025-10-21,680067,497.34,2025-10-21 03:47:13
Dataset_0351,Finance,Third-Party Vendor,2025-05-20,21581,388.02,2025-05-20 03:47:13
Dataset_0352,Retail,Internal System,2025-12-01,384671,285.66,2025-12-01 03:47:13
Dataset_0353,Finance,Open Data Portal,2025-04-09,4053,49.27,2025-04-09 03:47:13
Dataset_0354,Retail,Open Data Portal,2025-05-15,686924,288.45,2025-05-15 03:47:13
Dataset_0355,Retail,Third-Party Vendor,2025-03-24,798525,3.56,2025-03-24 03:47:13
Dataset_0356,Cybersecurity,Open Data Portal,2025-06-30,387142,214.41,2025-06-30 03:47:13
Dataset_0357,Transportation,Open Data Portal,2025-10-23,420164,241.83,2025-10-23 03:47:13
Dataset_0358,Healthcare,User Upload,2025-10-01,880581,150.49,2025-10-01 03:47:13
Dataset_0359,Education,Third-Party Vendor,2025-05-30,619574,267.73,2025-05-30 03:47:13
Dataset_0360,Retail,Third-Party Vendor,2025-07-29,325248,401.29,2025-07-29 03:47:13
Dataset_0361,Education,Third-Party Vendor,2025-07-24,823070,283.75,2025-07-24 03:47:13
Dataset_0362,Cybersecurity,User Upload,2025-11-14,428252,335.76,2025-11-14 03:47:13
Dataset_0363,Healthcare,Third-Party Vendor,2025-06-03,807424,385.73,2025-06-03 03:47:13
Dataset_0364,Finance,Third-Party Vendor,2025-09-05,822173,225.36,2025-09-05 03:47:13
Dataset_0365,Healthcare,Open Data Portal,2025-02-25,935709,267.67,2025-02-25 03:47:13
Dataset_0366,Transportation,API Feed,2025-04-22,365511,43.24,2025-04-22 03:47:13
Dataset_0367,Education,Internal System,2025-01-12,798122,291.99,2025-01-12 03:47:13
Dataset_0368,Healthcare,User Upload,2025-11-02,89985,98.68,2025-11-02 03:47:13
Dataset_0369,Healthcare,Third-Party Vendor,2025-08-27,368796,277.39,2025-08-27 03:47:13
Dataset_0370,Retail,Third-Party Vendor,2025-11-17,117219,160.08,2025-11-17 03:47:13
Dataset_0371,Transportation,User Upload,2025-01-25,974426,20.38,2025-01-25 03:47:13
Dataset_0372,Transportation,User Upload,2025-09-14,83893,1.76,2025-09-14 03:47:13
Dataset_0373,Healthcare,Open Data Portal,2025-10-25,874001,284.1,2025-10-25 03:47:13
Dataset_0374,Education,Open Data Portal,2025-04-30,461729,315.2,2025-04-30 03:47:13
Dataset_0375,Finance,Open Data Portal,2025-10-27,320537,209.82,2025-10-27 03:47:13
Dataset_0376,Finance,API Feed,2024-12-21,816718,453.34,2024-12-21 03:47:13
Dataset_0377,Retail,Open Data Portal,2025-08-27,290005,318.57,2025-08-27 03:47:13
Dataset_0378,Cybersecurity,Open Data Portal,2025-10-21,990807,21.21,2025-10-21 03:47:13
Dataset_0379,Finance,Third-Party Vendor,2025-08-04,223835,220.18,2025-08-04 03:47:13
Dataset_0380,Transportation,Internal System,2025-02-24,432161,253.91,2025-02-24 03:47:13
Dataset_0381,Retail,Third-Party Vendor,2025-04-04,321003,407.24,2025-04-04 03:47:13
Dataset_0382,Cybersecurity,Open Data Portal,2024-12-30,699246,377.54,2024-12-30 03:47:13
Dataset_0383,Cybersecurity,User Upload,2025-06-22,688468,25.98,2025-06-22 03:47:13
Dataset_0384,Education,Internal System,2025-01-07,574721,492.41,2025-01-07 03:47:13
Dataset_0385,Cybersecurity,API Feed,2025-08-21,219624,155.93,2025-08-21 03:47:13
Dataset_0386,Education,User Upload,2025-01-12,940991,16.48,2025-01-12 03:47:13
Dataset_0387,Healthcare,API Feed,2025-03-12,638296,27.59,2025-03-12 03:47:13
Dataset_0388,Retail,Open Data Portal,2025-05-09,39841,480.79,2025-05-09 03:47:13
Dataset_0389,Cybersecurity,Open Data Portal,2025-06-22,703488,109.94,2025-06-22 03:47:13
Dataset_0390,Education,Internal System,2025-10-13,292792,474.73,2025-10-13 03:47:13
Dataset_0391,Retail,API Feed,2025-10-31,171277,290.23,2025-10-31 03:47:13
Dataset_0392,Finance,Internal System,2025-11-24,360750,239.38,2025-11-24 03:47:13
Dataset_0393,Transportation,Open Data Portal,2025-02-09,169147,315.06,2025-02-09 03:47:13
Dataset_0394,Cybersecurity,API Feed,2025-10-23,26676,364.85,2025-10-23 03:47:13
Dataset_0395,Finance,Open Data Portal,2025-08-27,13268,459.7,2025-08-27 03:47:13
Dataset_0396,Healthcare,User Upload,2025-03-11,944360,26.35,2025-03-11 03:47:13
Dataset_0397,Finance,Internal System,2025-06-05,190208,242.9,2025-06-05 03:47:13
Dataset_0398,Retail,Internal System,2025-03-14,181556,174.94,2025-03-14 03:47:13
Dataset_0399,Finance,API Feed,2025-03-10,782023,262.22,2025-03-10 03:47:13
Dataset_0400,Cybersecurity,Internal System,2025-11-21,470298,3.55,2025-11-21 03:47:13
Dataset_0401,Retail,API Feed,2025-11-04,763196,265.45,2025-11-04 03:47:13
Dataset_0402,Healthcare,Third-Party Vendor,2025-03-28,214321,467.73,2025-03-28 03:47:13
Dataset_0403,Healthcare,API Feed,2025-04-01,618140,222.18,2025-04-01 03:47:13
Dataset_0404,Cybersecurity,User Upload,2025-06-01,502551,324.11,2025-06-01 03:47:13
Dataset_0405,Retail,Internal System,2025-04-10,537571,203.32,2025-04-10 03:47:13
Dataset_0406,Education,Third-Party Vendor,2025-11-18,339547,93.7,2025-11-18 03:47:13
Dataset_0407,Healthcare,Open Data Portal,2025-11-24,271210,106.2,2025-11-24 03:47:13
Dataset_0408,Finance,Open Data Portal,2025-08-07,771969,222.3,2025-08-07 03:47:13
Dataset_0409,Retail,Third-Party Vendor,2025-05-29,381465,170.48,2025-05-29 03:47:13
Dataset_0410,Healthcare,Third-Party Vendor,2025-06-19,300095,183.46,2025-06-19 03:47:13
Dataset_0411,Transportation,Internal System,2025-05-18,551091,139.46,2025-05-18 03:47:13
Dataset_0412,Transportation,Third-Party Vendor,2025-09-28,238644,36.78,2025-09-28 03:47:13
Dataset_0413,Education,Third-Party Vendor,2025-10-08,513481,97.7,2025-10-08 03:47:13
Dataset_0414,Finance,API Feed,2025-10-15,397655,297.22,2025-10-15 03:47:13
Dataset_0415,Healthcare,Third-Party Vendor,2024-12-12,63938,376.11,2024-12-12 03:47:13
Dataset_0416,Finance,User Upload,2025-09-09,26213,274.74,2025-09-09 03:47:13
Dataset_0417,Cybersecurity,API Feed,2025-08-30,281121,174.27,2025-08-30 03:47:13
Dataset_0418,Healthcare,Open Data Portal,2025-02-15,853681,36.05,2025-02-15 03:47:13
Dataset_0419,Retail,Internal System,2025-01-24,778537,483.77,2025-01-24 03:47:13
Dataset_0420,Cybersecurity,Third-Party Vendor,2025-09-23,92173,242.06,2025-09-23 03:47:13
Dataset_0421,Education,Internal System,2025-01-26,707472,304.32,2025-01-26 03:47:13
Dataset_0422,Finance,Internal System,2025-08-31,762461,167.85,2025-08-31 03:47:13
Dataset_0423,Healthcare,Third-Party Vendor,2025-11-13,337841,67.71,2025-11-13 03:47:13
Dataset_0424,Retail,Third-Party Vendor,2025-03-29,934115,255.59,2025-03-29 03:47:13
Dataset_0425,Cybersecurity,User Upload,2025-06-15,579656,303.11,2025-06-15 03:47:13
Dataset_0426,Transportation,API Feed,2025-03-24,267817,459.53,2025-03-24 03:47:13
Dataset_0427,Transportation,Internal System,2025-05-01,766805,240.67,2025-05-01 03:47:13
Dataset_0428,Retail,API Feed,2025-02-25,401881,77.03,2025-02-25 03:47:13
Dataset_0429,Retail,API Feed,2025-04-03,592424,69.15,2025-04-03 03:47:13
Dataset_0430,Finance,API Feed,2025-08-30,483197,93.77,2025-08-30 03:47:13
Dataset_0431,Finance,User Upload,2024-12-06,757960,274.69,2024-12-06 03:47:13
Dataset_0432,Finance,Open Data Portal,2025-02-04,596850,256.89,2025-02-04 03:47:13
Dataset_0433,Cybersecurity,Internal System,2025-01-14,88288,114.44,2025-01-14 03:47:13
Dataset_0434,Finance,Third-Party Vendor,2025-08-01,406230,451.27,2025-08-01 03:47:13
Dataset_0435,Retail,Open Data Portal,2025-02-03,894420,15.4,2025-02-03 03:47:13
Dataset_0436,Education,Open Data Portal,2025-05-21,218809,18.21,2025-05-21 03:47:13
Dataset_0437,Education,API Feed,2025-07-12,96315,169.8,2025-07-12 03:47:13
Dataset_0438,Finance,Third-Party Vendor,2025-09-12,29186,299.45,2025-09-12 03:47:13
Dataset_0439,Healthcare,API Feed,2025-03-25,91774,489.44,2025-03-25 03:47:13
Dataset_0440,Education,Third-Party Vendor,2025-09-09,724390,50.54,2025-09-09 03:47:13
Dataset_0441,Finance,API Feed,2025-06-18,91296,358.83,2025-06-18 03:47:13
Dataset_0442,Retail,Open Data Portal,2025-04-09,442112,112.26,2025-04-09 03:47:13
Dataset_0443,Education,Open Data Portal,2025-09-12,550117,465.75,2025-09-12 03:47:13
Dataset_0444,Cybersecurity,API Feed,2025-05-29,809912,190.05,2025-05-29 03:47:13
Dataset_0445,Transportation,API Feed,2025-06-04,268868,340.82,2025-06-04 03:47:13
Dataset_0446,Finance,Open Data Portal,2025-10-18,442352,210.23,2025-10-18 03:47:13
Dataset_0447,Education,Third-Party Vendor,2024-12-17,222553,276.23,2024-12-17 03:47:13
Dataset_0448,Retail,Open Data Portal,2025-02-04,615198,453.82,2025-02-04 03:47:13
Dataset_0449,Cybersecurity,Open Data Portal,2025-09-08,833047,119.29,2025-09-08 03:47:13
Dataset_0450,Transportation,API Feed,2025-02-27,927878,414.23,2025-02-27 03:47:13
Dataset_0451,Finance,User Upload,2025-02-27,492504,370.71,2025-02-27 03:47:13
Dataset_0452,Transportation,Internal System,2024-12-22,942593,41.04,2024-12-22 03:47:13
Dataset_0453,Transportation,User Upload,2025-04-08,205411,326.03,2025-04-08 03:47:13
Dataset_0454,Healthcare,User Upload,2025-01-31,447399,499.08,2025-01-31 03:47:13
Dataset_0455,Retail,Open Data Portal,2025-06-14,629062,198.14,2025-06-14 03:47:13
Dataset_0456,Finance,Open Data Portal,2025-07-01,147784,287.01,2025-07-01 03:47:13
Dataset_0457,Healthcare,Open Data Portal,2025-10-25,818403,254.55,2025-10-25 03:47:13
Dataset_0458,Cybersecurity,Internal System,2025-11-07,568089,355.11,2025-11-07 03:47:13
Dataset_0459,Retail,API Feed,2025-08-29,684624,447.33,2025-08-29 03:47:13
Dataset_0460,Retail,API Feed,2025-05-31,75411,398.13,2025-05-31 03:47:13
Dataset_0461,Education,API Feed,2025-01-28,776973,4.33,2025-01-28 03:47:13
Dataset_0462,Retail,API Feed,2024-12-20,85399,145.95,2024-12-20 03:47:13
Dataset_0463,Finance,Open Data Portal,2025-09-06,536155,229.55,2025-09-06 03:47:13
Dataset_0464,Healthcare,API Feed,2025-09-09,928053,351.75,2025-09-09 03:47:13
Dataset_0465,Cybersecurity,API Feed,2025-01-15,524552,63.74,2025-01-15 03:47:13
Dataset_0466,Finance,Open Data Portal,2024-12-13,354248,151.08,2024-12-13 03:47:13
Dataset_0467,Finance,User Upload,2025-01-05,513653,87.87,2025-01-05 03:47:13
Dataset_0468,Cybersecurity,Open Data Portal,2025-08-16,68244,2.27,2025-08-16 03:47:13
Dataset_0469,Finance,Open Data Portal,2025-01-26,983708,358.47,2025-01-26 03:47:13
Dataset_0470,Education,User Upload,2025-11-18,328983,407.38,2025-11-18 03:47:13
Dataset_0471,Cybersecurity,Third-Party Vendor,2025-09-16,689227,91.33,2025-09-16 03:47:13
Dataset_0472,Transportation,User Upload,2025-10-27,558298,307.2,2025-10-27 03:47:13
Dataset_0473,Healthcare,API Feed,2025-10-25,683067,1.07,2025-10-25 03:47:13
Dataset_0474,Finance,User Upload,2024-12-05,674534,45.47,2024-12-05 03:47:13
Dataset_0475,Retail,Open Data Portal,2025-02-20,988988,61.41,2025-02-20 03:47:13
Dataset_0476,Retail,Open Data Portal,2025-11-24,445622,291.86,2025-11-24 03:47:13
Dataset_0477,Transportation,Internal System,2024-12-22,626147,221.74,2024-12-22 03:47:13
Dataset_0478,Retail,Internal System,2025-05-11,633302,284.83,2025-05-11 03:47:13
Dataset_0479,Healthcare,API Feed,2025-06-21,702087,295.92,2025-06-21 03:47:13
Dataset_0480,Healthcare,Third-Party Vendor,2025-08-16,801172,45.24,2025-08-16 03:47:13
Dataset_0481,Retail,API Feed,2025-02-28,538462,422.61,2025-02-28 03:47:13
Dataset_0482,Transportation,API Feed,2025-07-02,678980,374.25,2025-07-02 03:47:13
Dataset_0483,Education,Third-Party Vendor,2024-12-20,619694,1.96,2024-12-20 03:47:13
Dataset_0484,Retail,Open Data Portal,2025-07-25,835512,381.92,2025-07-25 03:47:13
Dataset_0485,Healthcare,Internal System,2025-10-24,993599,219.09,2025-10-24 03:47:13
Dataset_0486,Finance,API Feed,2024-12-20,997184,101.05,2024-12-20 03:47:13
Dataset_0487,Finance,Third-Party Vendor,2025-01-13,66587,457.11,2025-01-13 03:47:13
Dataset_0488,Cybersecurity,Open Data Portal,2025-10-08,51880,337.29,2025-10-08 03:47:13
Dataset_0489,Healthcare,User Upload,2025-03-08,644928,53.12,2025-03-08 03:47:13
Dataset_0490,Education,Third-Party Vendor,2025-10-07,729415,484.66,2025-10-07 03:47:13
Dataset_0491,Healthcare,Open Data Portal,2025-07-07,185736,38.05,2025-07-07 03:47:13
Dataset_0492,Education,API Feed,2025-03-12,862640,234.56,2025-03-12 03:47:13
Dataset_0493,Healthcare,Third-Party Vendor,2025-10-19,809858,479.15,2025-10-19 03:47:13
Dataset_0494,Transportation,User Upload,2025-05-18,487571,175.68,2025-05-18 03:47:13
Dataset_0495,Finance,User Upload,2025-06-06,378274,35.44,2025-06-06 03:47:13
Dataset_0496,Transportation,Open Data Portal,2025-03-05,678727,48.16,2025-03-05 03:47:13
Dataset_0497,Finance,API Feed,2025-09-18,179558,300.28,2025-09-18 03:47:13
Dataset_0498,Finance,Internal System,2025-10-07,792390,365.76,2025-10-07 03:47:13
Dataset_0499,Healthcare,Open Data Portal,2024-12-25,598022,45.72,2024-12-25 03:47:13
Dataset_0500,Cybersecurity,Third-Party Vendor,2025-10-26,774980,337.67,2025-10-26 03:47:13
