date,incident_type,severity,status,description,reported_by,created_at
2025-11-04,Phishing Attack,High,Investigating,Malware signature found,Security Engineer,2025-11-05 19:43:57
2025-06-23,DDoS Attack,Low,Resolved,Data exfiltration suspected,Employee,2025-06-24 08:43:57
2025-09-27,DDoS Attack,Critical,Resolved,Suspicious login attempt,Employee,2025-09-28 03:43:57
2025-11-12,Malware Infection,Medium,Closed,Data exfiltration suspected,Security Engineer,2025-11-13 19:43:57
2025-08-09,Phishing Attack,Low,Closed,Suspicious login attempt,IT Admin,2025-08-09 03:43:57
2025-09-11,DDoS Attack,Medium,Closed,Suspicious login attempt,SOC Analyst,2025-09-11 17:43:57
2025-11-07,Data Breach,Low,Closed,Suspicious login attempt,IT Admin,2025-11-08 15:43:57
2025-08-23,Unauthorized Access,Critical,Open,Detected unusual traffic,IT Admin,2025-08-24 16:43:57
2025-11-07,Malware Infection,Low,Investigating,Detected unusual traffic,SOC Analyst,2025-11-07 17:43:57
2025-11-21,Data Breach,Low,Resolved,Suspicious login attempt,Security Engineer,2025-11-22 19:43:57
2025-07-13,Malware Infection,Critical,Closed,Malware signature found,IT Admin,2025-07-14 17:43:57
2025-11-06,Malware Infection,Medium,Closed,Detected unusual traffic,Employee,2025-11-06 16:43:57
2025-06-14,Phishing Attack,Medium,Investigating,Data exfiltration suspected,Employee,2025-06-15 19:43:57
2025-06-20,Phishing Attack,High,Investigating,Malware signature found,SOC Analyst,2025-06-21 09:43:57
2025-08-16,Unauthorized Access,High,Investigating,Detected unusual traffic,SOC Analyst,2025-08-17 06:43:57
2025-07-31,Unauthorized Access,High,Closed,Malware signature found,Employee,2025-08-01 13:43:57
2025-08-29,Phishing Attack,Low,Open,Malware signature found,Security Engineer,2025-08-30 01:43:57
2025-06-27,Malware Infection,Low,Open,Suspicious login attempt,Security Engineer,2025-06-27 16:43:57
2025-08-24,Phishing Attack,Critical,Open,Data exfiltration suspected,IT Admin,2025-08-24 15:43:57
2025-07-16,Malware Infection,Medium,Closed,Data exfiltration suspected,Employee,2025-07-17 18:43:57
2025-11-06,Ransomware,Critical,Open,Data exfiltration suspected,Employee,2025-11-08 03:43:57
2025-07-10,DDoS Attack,High,Open,Detected unusual traffic,Employee,2025-07-10 13:43:57
2025-11-15,Malware Infection,Critical,Investigating,Malware signature found,SOC Analyst,2025-11-15 18:43:57
2025-10-15,Data Breach,High,Closed,Detected unusual traffic,SOC Analyst,2025-10-16 17:43:57
2025-11-15,DDoS Attack,Medium,Investigating,Detected unusual traffic,Employee,2025-11-16 12:43:57
2025-10-17,Data Breach,Low,Open,Detected unusual traffic,SOC Analyst,2025-10-18 04:43:57
2025-10-30,DDoS Attack,Low,Resolved,Malware signature found,IT Admin,2025-10-30 19:43:57
2025-07-19,Malware Infection,Low,Resolved,Data exfiltration suspected,SOC Analyst,2025-07-19 11:43:57
2025-08-06,Ransomware,Critical,Investigating,Data exfiltration suspected,Security Engineer,2025-08-07 21:43:57
2025-07-01,Unauthorized Access,High,Closed,Suspicious login attempt,IT Admin,2025-07-02 23:43:57
2025-10-09,Malware Infection,Medium,Open,Data exfiltration suspected,IT Admin,2025-10-09 03:43:57
2025-09-22,Phishing Attack,Low,Investigating,Malware signature found,Security Engineer,2025-09-23 12:43:57
2025-10-29,Malware Infection,Critical,Investigating,Suspicious login attempt,IT Admin,2025-10-30 22:43:57
2025-07-25,DDoS Attack,High,Closed,Malware signature found,SOC Analyst,2025-07-25 05:43:57
2025-07-30,Malware Infection,Medium,Open,Data exfiltration suspected,IT Admin,2025-08-01 02:43:57
2025-11-04,Ransomware,High,Investigating,Detected unusual traffic,Security Engineer,2025-11-05 18:43:57
2025-07-16,Data Breach,Critical,Closed,Malware signature found,Security Engineer,2025-07-17 16:43:57
2025-09-14,Unauthorized Access,High,Investigating,Suspicious login attempt,SOC Analyst,2025-09-14 12:43:57
2025-07-13,Data Breach,Low,Investigating,Malware signature found,Employee,2025-07-14 17:43:57
2025-10-21,Data Breach,High,Resolved,Malware signature found,Security Engineer,2025-10-21 17:43:57
2025-11-21,Ransomware,High,Investigating,Detected unusual traffic,SOC Analyst,2025-11-22 12:43:57
2025-11-02,DDoS Attack,Low,Resolved,Malware signature found,SOC Analyst,2025-11-02 23:43:57
2025-10-16,Ransomware,Medium,Investigating,Malware signature found,Security Engineer,2025-10-18 03:43:57
2025-10-19,Phishing Attack,Critical,Closed,Data exfiltration suspected,Employee,2025-10-19 10:43:57
2025-09-23,DDoS Attack,Low,Resolved,Malware signature found,SOC Analyst,2025-09-24 15:43:57
2025-08-01,Ransomware,Low,Open,Suspicious login attempt,IT Admin,2025-08-02 00:43:57
2025-07-26,Malware Infection,High,Closed,Detected unusual traffic,SOC Analyst,2025-07-27 00:43:57
2025-10-22,DDoS Attack,Low,Closed,Suspicious login attempt,Employee,2025-10-23 18:43:57
2025-07-18,Ransomware,Medium,Open,Malware signature found,Employee,2025-07-18 22:43:57
2025-08-08,DDoS Attack,Critical,Closed,Detected unusual traffic,Security Engineer,2025-08-08 04:43:57
2025-10-10,Ransomware,High,Closed,Suspicious login attempt,SOC Analyst,2025-10-11 11:43:57
2025-09-20,Unauthorized Access,Critical,Closed,Detected unusual traffic,IT Admin,2025-09-21 12:43:57
2025-10-03,Malware Infection,Medium,Closed,Suspicious login attempt,Employee,2025-10-04 16:43:57
2025-08-13,Unauthorized Access,Medium,Resolved,Data exfiltration suspected,Employee,2025-08-14 18:43:57
2025-12-04,Unauthorized Access,Low,Closed,Malware signature found,Security Engineer,2025-12-04 06:43:57
2025-11-30,Phishing Attack,High,Investigating,Malware signature found,Employee,2025-11-30 03:43:57
2025-09-06,Unauthorized Access,Critical,Closed,Malware signature found,Employee,2025-09-07 17:43:57
2025-11-30,DDoS Attack,Critical,Resolved,Suspicious login attempt,Employee,2025-12-01 11:43:57
2025-06-27,Phishing Attack,Low,Resolved,Suspicious login attempt,SOC Analyst,2025-06-28 04:43:57
2025-07-21,Unauthorized Access,High,Resolved,Malware signature found,Employee,2025-07-23 01:43:57
2025-11-14,Ransomware,Low,Closed,Malware signature found,IT Admin,2025-11-15 18:43:57
2025-07-02,Data Breach,High,Open,Malware signature found,SOC Analyst,2025-07-03 23:43:57
2025-11-17,Phishing Attack,Low,Closed,Detected unusual traffic,Security Engineer,2025-11-17 11:43:57
2025-08-29,Unauthorized Access,High,Investigating,Malware signature found,IT Admin,2025-08-29 07:43:57
2025-06-11,Data Breach,Low,Open,Data exfiltration suspected,Security Engineer,2025-06-12 02:43:57
2025-09-02,Malware Infection,High,Investigating,Data exfiltration suspected,Employee,2025-09-02 14:43:57
2025-11-14,Phishing Attack,Critical,Open,Suspicious login attempt,IT Admin,2025-11-15 18:43:57
2025-09-19,DDoS Attack,Critical,Resolved,Suspicious login attempt,SOC Analyst,2025-09-20 10:43:57
2025-06-28,Data Breach,Low,Resolved,Suspicious login attempt,Employee,2025-06-29 04:43:57
2025-11-09,DDoS Attack,Medium,Open,Detected unusual traffic,IT Admin,2025-11-10 22:43:57
2025-10-10,Malware Infection,Low,Investigating,Detected unusual traffic,IT Admin,2025-10-12 03:43:57
2025-08-07,Malware Infection,High,Open,Malware signature found,IT Admin,2025-08-08 23:43:57
2025-11-06,Phishing Attack,Low,Closed,Data exfiltration suspected,Security Engineer,2025-11-07 01:43:57
2025-10-23,Malware Infection,High,Closed,Detected unusual traffic,IT Admin,2025-10-24 13:43:57
2025-07-06,Unauthorized Access,Low,Investigating,Malware signature found,Security Engineer,2025-07-06 20:43:57
2025-09-06,Malware Infection,Critical,Open,Data exfiltration suspected,Employee,2025-09-08 02:43:57
2025-11-09,DDoS Attack,High,Closed,Suspicious login attempt,Security Engineer,2025-11-09 10:43:57
2025-11-29,Phishing Attack,Medium,Open,Malware signature found,Security Engineer,2025-11-29 17:43:57
2025-07-01,Malware Infection,Critical,Resolved,Malware signature found,IT Admin,2025-07-02 07:43:57
2025-08-18,DDoS Attack,High,Investigating,Malware signature found,IT Admin,2025-08-18 14:43:57
2025-06-21,DDoS Attack,High,Open,Detected unusual traffic,SOC Analyst,2025-06-21 22:43:57
2025-08-31,Ransomware,Critical,Open,Suspicious login attempt,Security Engineer,2025-08-31 07:43:57
2025-09-30,Phishing Attack,Critical,Resolved,Malware signature found,Security Engineer,2025-09-30 08:43:57
2025-07-26,Phishing Attack,Low,Investigating,Detected unusual traffic,Security Engineer,2025-07-26 16:43:57
2025-10-19,Data Breach,Medium,Closed,Suspicious login attempt,IT Admin,2025-10-19 22:43:57
2025-10-31,Ransomware,Low,Investigating,Data exfiltration suspected,IT Admin,2025-11-01 10:43:57
2025-11-07,Unauthorized Access,Low,Investigating,Data exfiltration suspected,SOC Analyst,2025-11-08 18:43:57
2025-11-17,Data Breach,High,Resolved,Suspicious login attempt,SOC Analyst,2025-11-17 20:43:57
2025-10-29,Malware Infection,Medium,Open,Suspicious login attempt,IT Admin,2025-10-30 14:43:57
2025-11-08,Data Breach,Critical,Resolved,Detected unusual traffic,SOC Analyst,2025-11-08 20:43:57
2025-07-21,Data Breach,Low,Closed,Malware signature found,Security Engineer,2025-07-22 00:43:57
2025-10-11,Unauthorized Access,Medium,Closed,Malware signature found,IT Admin,2025-10-11 20:43:57
2025-06-20,Unauthorized Access,Critical,Resolved,Suspicious login attempt,IT Admin,2025-06-20 21:43:57
2025-11-19,Ransomware,High,Resolved,Data exfiltration suspected,IT Admin,2025-11-20 22:43:57
2025-08-19,DDoS Attack,Critical,Open,Suspicious login attempt,Security Engineer,2025-08-20 06:43:57
2025-11-22,DDoS Attack,Critical,Investigating,Suspicious login attempt,SOC Analyst,2025-11-23 15:43:57
2025-10-02,Unauthorized Access,Low,Open,Detected unusual traffic,SOC Analyst,2025-10-03 18:43:57
2025-07-03,Ransomware,Low,Open,Data exfiltration suspected,Security Engineer,2025-07-03 12:43:57
2025-08-25,Ransomware,High,Investigating,Data exfiltration suspected,Security Engineer,2025-08-25 12:43:57
2025-06-19,DDoS Attack,Critical,Closed,Suspicious login attempt,IT Admin,2025-06-20 10:43:57
2025-11-27,Data Breach,Critical,Open,Malware signature found,IT Admin,2025-11-28 18:43:57
2025-06-29,Data Breach,Low,Open,Suspicious login attempt,Employee,2025-06-30 12:43:57
2025-07-18,DDoS Attack,Critical,Resolved,Malware signature found,Security Engineer,2025-07-18 17:43:57
2025-11-07,Ransomware,Low,Open,Detected unusual traffic,Security Engineer,2025-11-07 11:43:57
2025-08-27,DDoS Attack,Medium,Closed,Data exfiltration suspected,IT Admin,2025-08-27 03:43:57
2025-09-22,Phishing Attack,Critical,Resolved,Detected unusual traffic,IT Admin,2025-09-23 23:43:57
2025-09-23,Unauthorized Access,Medium,Closed,Detected unusual traffic,SOC Analyst,2025-09-24 04:43:57
2025-06-10,DDoS Attack,High,Resolved,Suspicious login attempt,Employee,2025-06-10 17:43:57
2025-10-15,Phishing Attack,High,Open,Data exfiltration suspected,Employee,2025-10-16 02:43:57
2025-09-14,Phishing Attack,Medium,Closed,Suspicious login attempt,Employee,2025-09-15 10:43:57
2025-08-11,Data Breach,Medium,Open,Malware signature found,Security Engineer,2025-08-11 19:43:57
2025-10-21,Ransomware,High,Investigating,Data exfiltration suspected,Employee,2025-10-22 17:43:57
2025-09-04,Data Breach,High,Resolved,Suspicious login attempt,Security Engineer,2025-09-06 00:43:57
2025-09-02,Phishing Attack,Critical,Closed,Malware signature found,Employee,2025-09-04 00:43:57
2025-07-24,Malware Infection,Critical,Closed,Malware signature found,Employee,2025-07-24 08:43:57
2025-08-26,Unauthorized Access,Critical,Resolved,Malware signature found,SOC Analyst,2025-08-26 17:43:57
2025-08-27,Malware Infection,Low,Closed,Data exfiltration suspected,SOC Analyst,2025-08-27 05:43:57
2025-08-21,Malware Infection,Critical,Open,Data exfiltration suspected,Security Engineer,2025-08-22 23:43:57
2025-07-14,Unauthorized Access,High,Resolved,Data exfiltration suspected,Employee,2025-07-15 06:43:57
2025-10-25,Unauthorized Access,Medium,Resolved,Detected unusual traffic,SOC Analyst,2025-10-25 20:43:57
2025-10-02,Phishing Attack,Critical,Investigating,Detected unusual traffic,SOC Analyst,2025-10-03 06:43:57
2025-07-09,Phishing Attack,Medium,Resolved,Suspicious login attempt,Security Engineer,2025-07-09 03:43:57
2025-09-02,Data Breach,High,Open,Malware signature found,IT Admin,2025-09-02 05:43:57
2025-10-31,Unauthorized Access,Medium,Investigating,Detected unusual traffic,SOC Analyst,2025-10-31 03:43:57
2025-07-18,Ransomware,Medium,Resolved,Suspicious login attempt,Employee,2025-07-20 02:43:57
2025-08-21,Phishing Attack,Critical,Open,Suspicious login attempt,Security Engineer,2025-08-21 22:43:57
2025-11-16,Unauthorized Access,High,Investigating,Malware signature found,Security Engineer,2025-11-17 18:43:57
2025-08-13,Unauthorized Access,Critical,Resolved,Detected unusual traffic,Security Engineer,2025-08-13 16:43:57
2025-11-26,Data Breach,Low,Resolved,Data exfiltration suspected,SOC Analyst,2025-11-27 20:43:57
2025-08-26,Ransomware,Medium,Closed,Data exfiltration suspected,Security Engineer,2025-08-27 01:43:57
2025-07-27,Data Breach,Critical,Closed,Suspicious login attempt,IT Admin,2025-07-28 12:43:57
2025-11-07,DDoS Attack,Medium,Resolved,Suspicious login attempt,IT Admin,2025-11-07 22:43:57
2025-06-13,DDoS Attack,High,Investigating,Malware signature found,IT Admin,2025-06-14 21:43:57
2025-10-11,Ransomware,High,Open,Malware signature found,Security Engineer,2025-10-11 04:43:57
2025-09-25,DDoS Attack,High,Closed,Detected unusual traffic,IT Admin,2025-09-26 12:43:57
2025-08-10,Unauthorized Access,Critical,Investigating,Data exfiltration suspected,IT Admin,2025-08-12 02:43:57
2025-08-04,Ransomware,High,Closed,Malware signature found,Employee,2025-08-05 11:43:57
2025-11-02,Phishing Attack,High,Closed,Malware signature found,Security Engineer,2025-11-02 05:43:57
2025-11-30,Unauthorized Access,Low,Resolved,Suspicious login attempt,Security Engineer,2025-12-01 19:43:57
2025-09-14,Phishing Attack,Low,Closed,Suspicious login attempt,Security Engineer,2025-09-14 08:43:57
2025-06-10,Unauthorized Access,High,Open,Malware signature found,SOC Analyst,2025-06-10 13:43:57
2025-10-27,DDoS Attack,Medium,Resolved,Malware signature found,Security Engineer,2025-10-28 23:43:57
2025-07-06,Unauthorized Access,High,Resolved,Detected unusual traffic,Security Engineer,2025-07-07 22:43:57
2025-08-12,Phishing Attack,Medium,Closed,Malware signature found,Security Engineer,2025-08-12 19:43:57
2025-07-30,Unauthorized Access,Low,Resolved,Suspicious login attempt,IT Admin,2025-07-31 11:43:57
2025-11-22,Ransomware,Critical,Open,Data exfiltration suspected,Employee,2025-11-23 04:43:57
2025-12-04,Unauthorized Access,Medium,Open,Detected unusual traffic,Security Engineer,2025-12-05 00:43:57
2025-06-13,Unauthorized Access,Medium,Investigating,Suspicious login attempt,SOC Analyst,2025-06-13 07:43:57
2025-11-04,Ransomware,High,Resolved,Suspicious login attempt,SOC Analyst,2025-11-05 23:43:57
2025-09-21,Ransomware,High,Resolved,Suspicious login attempt,SOC Analyst,2025-09-22 09:43:57
2025-11-14,Unauthorized Access,Medium,Closed,Data exfiltration suspected,Employee,2025-11-15 04:43:57
2025-10-07,Unauthorized Access,Medium,Resolved,Malware signature found,IT Admin,2025-10-07 07:43:57
2025-11-03,DDoS Attack,Low,Investigating,Detected unusual traffic,Employee,2025-11-04 10:43:57
2025-10-03,Unauthorized Access,High,Investigating,Data exfiltration suspected,Employee,2025-10-03 06:43:57
2025-10-12,Phishing Attack,High,Closed,Detected unusual traffic,IT Admin,2025-10-13 05:43:57
2025-08-30,Malware Infection,Critical,Open,Suspicious login attempt,SOC Analyst,2025-08-30 07:43:57
2025-10-11,DDoS Attack,Medium,Open,Suspicious login attempt,Employee,2025-10-11 22:43:57
2025-11-11,Unauthorized Access,Critical,Investigating,Malware signature found,Security Engineer,2025-11-12 20:43:57
2025-08-16,Ransomware,Low,Closed,Data exfiltration suspected,Security Engineer,2025-08-17 12:43:57
2025-11-08,Data Breach,Medium,Open,Data exfiltration suspected,IT Admin,2025-11-09 03:43:57
2025-10-14,Phishing Attack,High,Investigating,Data exfiltration suspected,SOC Analyst,2025-10-14 10:43:57
2025-07-14,DDoS Attack,Medium,Closed,Suspicious login attempt,Employee,2025-07-15 23:43:57
2025-08-09,Malware Infection,Low,Open,Suspicious login attempt,Security Engineer,2025-08-10 20:43:57
2025-07-23,Data Breach,High,Resolved,Detected unusual traffic,Employee,2025-07-25 00:43:57
2025-07-20,DDoS Attack,High,Investigating,Data exfiltration suspected,SOC Analyst,2025-07-20 05:43:57
2025-07-20,Ransomware,High,Investigating,Detected unusual traffic,SOC Analyst,2025-07-21 00:43:57
2025-07-31,Data Breach,Medium,Open,Suspicious login attempt,Employee,2025-07-31 09:43:57
2025-09-30,Ransomware,Critical,Resolved,Malware signature found,Security Engineer,2025-09-30 04:43:57
2025-10-09,Unauthorized Access,Critical,Closed,Data exfiltration suspected,SOC Analyst,2025-10-09 21:43:57
2025-10-07,Ransomware,Critical,Open,Data exfiltration suspected,IT Admin,2025-10-08 22:43:57
2025-11-06,Unauthorized Access,High,Open,Detected unusual traffic,IT Admin,2025-11-07 13:43:57
2025-07-07,DDoS Attack,Medium,Closed,Malware signature found,IT Admin,2025-07-07 18:43:57
2025-11-30,Malware Infection,High,Resolved,Malware signature found,Security Engineer,2025-11-30 06:43:57
2025-08-11,Malware Infection,Medium,Investigating,Data exfiltration suspected,SOC Analyst,2025-08-11 05:43:57
2025-11-06,Phishing Attack,Low,Open,Detected unusual traffic,Employee,2025-11-06 16:43:57
2025-07-07,Malware Infection,Critical,Investigating,Detected unusual traffic,Security Engineer,2025-07-07 14:43:57
2025-11-24,Data Breach,Critical,Closed,Malware signature found,IT Admin,2025-11-25 14:43:57
2025-09-04,Ransomware,High,Investigating,Detected unusual traffic,Employee,2025-09-04 10:43:57
2025-08-10,Unauthorized Access,Critical,Open,Data exfiltration suspected,SOC Analyst,2025-08-10 15:43:57
2025-07-01,DDoS Attack,Medium,Investigating,Suspicious login attempt,Security Engineer,2025-07-02 08:43:57
2025-07-06,Unauthorized Access,High,Resolved,Malware signature found,IT Admin,2025-07-06 05:43:57
2025-11-08,Ransomware,Critical,Investigating,Detected unusual traffic,IT Admin,2025-11-08 14:43:57
2025-07-29,Data Breach,Low,Open,Suspicious login attempt,SOC Analyst,2025-07-30 11:43:57
2025-09-09,Phishing Attack,Low,Closed,Data exfiltration suspected,Employee,2025-09-11 01:43:57
2025-12-04,Ransomware,Critical,Investigating,Data exfiltration suspected,IT Admin,2025-12-05 05:43:57
2025-11-19,Phishing Attack,High,Resolved,Malware signature found,IT Admin,2025-11-20 06:43:57
2025-06-23,Data Breach,Critical,Resolved,Detected unusual traffic,SOC Analyst,2025-06-24 21:43:57
2025-10-21,Phishing Attack,Medium,Investigating,Detected unusual traffic,Employee,2025-10-21 19:43:57
2025-11-21,Data Breach,High,Investigating,Suspicious login attempt,IT Admin,2025-11-22 23:43:57
2025-07-31,Phishing Attack,Low,Closed,Detected unusual traffic,IT Admin,2025-07-31 07:43:57
2025-09-27,DDoS Attack,Critical,Investigating,Detected unusual traffic,SOC Analyst,2025-09-27 21:43:57
2025-10-07,DDoS Attack,Critical,Closed,Suspicious login attempt,IT Admin,2025-10-07 23:43:57
2025-06-27,Data Breach,Medium,Closed,Suspicious login attempt,IT Admin,2025-06-27 22:43:57
2025-07-09,DDoS Attack,Medium,Resolved,Malware signature found,IT Admin,2025-07-10 06:43:57
2025-08-16,Unauthorized Access,High,Investigating,Detected unusual traffic,IT Admin,2025-08-17 11:43:57
2025-11-12,Unauthorized Access,Critical,Investigating,Suspicious login attempt,Security Engineer,2025-11-14 00:43:57
2025-06-28,Malware Infection,High,Resolved,Data exfiltration suspected,Security Engineer,2025-06-30 01:43:57
2025-11-16,Malware Infection,High,Open,Data exfiltration suspected,SOC Analyst,2025-11-16 21:43:57
2025-11-04,DDoS Attack,Critical,Investigating,Malware signature found,IT Admin,2025-11-04 17:43:57
2025-07-22,Unauthorized Access,Medium,Open,Detected unusual traffic,SOC Analyst,2025-07-23 07:43:57
2025-07-20,Data Breach,Medium,Open,Detected unusual traffic,Employee,2025-07-20 03:43:57
2025-07-05,Unauthorized Access,Medium,Open,Suspicious login attempt,Security Engineer,2025-07-06 08:43:57
2025-09-20,Data Breach,High,Open,Malware signature found,Security Engineer,2025-09-21 13:43:57
2025-07-17,Phishing Attack,Medium,Open,Data exfiltration suspected,Security Engineer,2025-07-17 13:43:57
2025-11-07,DDoS Attack,Medium,Resolved,Data exfiltration suspected,IT Admin,2025-11-08 10:43:57
2025-10-11,Phishing Attack,Low,Resolved,Detected unusual traffic,IT Admin,2025-10-12 04:43:57
2025-10-20,Phishing Attack,Low,Resolved,Suspicious login attempt,IT Admin,2025-10-21 02:43:57
2025-10-03,Data Breach,Low,Investigating,Detected unusual traffic,Employee,2025-10-04 20:43:57
2025-10-29,Data Breach,Medium,Investigating,Data exfiltration suspected,Employee,2025-10-30 10:43:57
2025-08-05,DDoS Attack,Critical,Open,Malware signature found,Employee,2025-08-05 23:43:57
2025-12-05,Unauthorized Access,Low,Resolved,Data exfiltration suspected,Employee,2025-12-06 23:43:57
2025-09-21,Unauthorized Access,Low,Closed,Detected unusual traffic,Employee,2025-09-22 13:43:57
2025-09-21,Ransomware,High,Closed,Suspicious login attempt,Security Engineer,2025-09-22 01:43:57
2025-08-17,DDoS Attack,Low,Resolved,Detected unusual traffic,IT Admin,2025-08-17 14:43:57
2025-06-25,Malware Infection,Medium,Investigating,Data exfiltration suspected,SOC Analyst,2025-06-25 21:43:57
2025-12-03,Malware Infection,High,Investigating,Malware signature found,Security Engineer,2025-12-04 11:43:57
2025-11-27,DDoS Attack,Medium,Closed,Suspicious login attempt,Employee,2025-11-28 18:43:57
2025-11-18,DDoS Attack,Low,Investigating,Malware signature found,IT Admin,2025-11-20 01:43:57
2025-12-01,DDoS Attack,Low,Closed,Detected unusual traffic,IT Admin,2025-12-02 03:43:57
2025-09-17,Phishing Attack,Medium,Investigating,Detected unusual traffic,Employee,2025-09-17 05:43:57
2025-09-21,Data Breach,Low,Resolved,Detected unusual traffic,Security Engineer,2025-09-22 07:43:57
2025-11-07,Data Breach,Medium,Closed,Data exfiltration suspected,Employee,2025-11-08 10:43:57
2025-11-06,DDoS Attack,Low,Investigating,Detected unusual traffic,IT Admin,2025-11-07 01:43:57
2025-07-22,DDoS Attack,Low,Closed,Detected unusual traffic,IT Admin,2025-07-23 04:43:57
2025-06-25,DDoS Attack,Low,Investigating,Suspicious login attempt,Security Engineer,2025-06-26 02:43:57
2025-07-19,Data Breach,High,Closed,Suspicious login attempt,Security Engineer,2025-07-20 02:43:57
2025-11-08,DDoS Attack,Low,Closed,Data exfiltration suspected,SOC Analyst,2025-11-08 14:43:57
